ctsk_task_name,ctti_time_els_value,ctsk_lines,ctsk_current_value,ctsk_waiting_date,ctsk_parking_dock_code,cdct_name,ctsk_id,ctsk_document_id,ctsk_reference,ctsk_complete_date,ctsk_task_description,ctst_name,ctsk_pci,ctsk_organization_id,ctsk_target_value,ctsk_created_on,cwhs_code,ctsk_priority,ctsk_task_user,ctsk_running_date,ctsk_task_state,ctsk_planning_date,metadata_fecha_consulta
"515313 Madera F5,F6,F7 Y F8",00:11:15.662734,2.0,7.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231026,515315,,2025-09-05T14:51:21.035284,Orden No. 144842,Picking,1.0,98,7.0,2025-09-05T14:00:43.234128,1290,Muy baja,lortiz,2025-09-05T14:34:11.908122,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515310 Madera F5,F6,F7 Y F8<A10",00:02:03.042895,1.0,1.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231024,515311,,2025-09-05T14:54:39.072122,Orden No. 144841,Picking,1.0,98,1.0,2025-09-05T14:00:39.008708,1290,Muy baja,lortiz,2025-09-05T14:45:45.76814,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515307 Madera F5,F6,F7 Y F8<A10",00:03:35.651128,1.0,3.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231023,515308,,2025-09-05T14:55:58.762675,Orden No. 144840,Picking,1.0,98,3.0,2025-09-05T14:00:34.727939,1290,Muy baja,lortiz,2025-09-05T14:26:09.428113,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
515304 Canto,00:36:04.752566,10.0,262.0,2025-09-05T14:12:47.098773,,PRODUCCIÒN,231022,515305,,2025-09-05T15:23:46.215401,Orden No. 144839,Picking,1.0,98,262.0,2025-09-05T14:00:20.002427,1290,Muy baja,cangel,2025-09-05T14:41:25.955933,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
"515301 Madera F5,F6,F7 Y F8",,1.0,0.0,,,ARDISA ENTREGA,231021,515303,,,Orden No. 500116145,Picking,0.0,98,4.0,2025-09-05T14:00:15.148146,1290,Muy baja,,,Pending,2025-09-08T00:00:00,2025-09-05 15:39:43
514435  -  TRANS 154 # 17 - 233 CLUB HOUSE 3 FLORIDA,00:00:49.920375,1.0,30.0,2025-09-05T14:00:16.452141,,CLIENTE RECOGE,231020,515297,,2025-09-05T14:01:26.028767,Orden No. 500116083,Picking,1.0,98,30.0,2025-09-05T13:59:41.570729,1145,Muy baja,cmendez,2025-09-05T14:00:30.560851,Complete,2025-09-04T00:00:00,2025-09-05 15:39:43
515287 CANTOS Y HERRAJES ,00:00:04.007614,1.0,0.0,2025-09-05T14:03:40.48092,,VENTA PUNTUAL,231019,515288,,,Orden No. 144838,Picking,0.0,98,5.0,2025-09-05T13:30:24.895918,1145,Muy baja,eduarte,2025-09-05T15:38:35.076503,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
515284 Madera Torres,00:01:50.805419,1.0,30.0,2025-09-05T13:41:34.693855,,VENTA PUNTUAL,231018,515285,,2025-09-05T14:16:19.744159,Orden No. 144837,Picking,1.0,98,30.0,2025-09-05T13:30:18.148544,1290,Muy baja,mdiaz,2025-09-05T14:06:15.587759,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
515271  -  CARRERA 8 44/27,00:00:37.316285,1.0,2.0,2025-09-05T13:25:52.168677,,CLIENTE RECOGE,231017,515271,,2025-09-05T14:40:36.430218,,Auditoria Picking,1.0,98,2.0,2025-09-05T13:25:32.805854,1145,Normal,hpinzon,2025-09-05T14:39:59.113933,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
515277 Madera Torres,00:00:38.455093,1.0,2.0,2025-09-05T13:41:34.693855,,VENTA PUNTUAL,231016,515278,,2025-09-05T14:17:01.365941,Orden No. 144836,Picking,1.0,98,2.0,2025-09-05T13:00:44.284725,1290,Muy baja,mdiaz,2025-09-05T14:06:22.962135,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
